Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,5.7,77000,77000,9,False,False,11.251573687764477
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,1.4,127000,33000,4,False,False,11.751950239425476
Vanquish,Dammam,Aston Martin,Automatic,Saudi,Full,6.0,32000,400000,9,False,False,10.373522431293592
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,1.4,81967,35500,4,False,False,11.314084206178984
Land Cruiser,Hail,Toyota,Manual,Gulf Arabic,Full,1.0,378000,75000,9,False,False,12.84265212010087
ES,Dammam,Lexus,Automatic,Saudi,Full,1.6,263000,66000,9,False,False,12.479913113434042
Hilux,Dammam,Toyota,Manual,Saudi,Full,2.7,174172,65000,6,False,False,12.067804337128216
Hilux,Jazan,Toyota,Manual,Saudi,Semi Full,2.7,106737,75000,5,False,False,11.578132512594163
Safrane,Jeddah,Renault,Automatic,Saudi,Full,2.6,144000,20000,10,False,False,11.87757552297847
Cores,Makkah,Kia,Manual,Saudi,Standard,4.0,400,10000,17,False,False,5.993961427306569
Cadenza,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,3.3,81000,70000,4,False,False,11.302216779257382
D'max,Jeddah,Suzuki,Manual,Other,Full,1.0,1000,7000,21,False,False,6.90875477931522
Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,5.3,127000,85000,4,False,False,11.751950239425476
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,3.5,128439,76500,5,False,False,11.76321714820345
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2.4,69000,55000,4,False,False,11.141876276228
Malibu,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2.5,190217,27000,7,False,False,12.155926061839581
Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,4.0,96000,95000,7,False,False,11.472113887062386
Charger,Riyadh,Dodge,Automatic,Unknown,Full,3.6,9120,115000,2,False,False,9.118334726180159
Rio,Jeddah,Kia,Automatic,Other,Standard,1.4,147000,26000,5,False,False,11.898194668458823
Maxima,Dammam,Nissan,Automatic,Other,Semi Full,3.5,34000,20000,11,False,False,10.434145214930487
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2.5,30507,69500,4,False,False,10.32574422328413
Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,1.8,175,15000,9,False,False,5.170483995038151
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2.0,54000,80000,3,False,False,10.896757843893464
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,3.5,327000,35000,10,False,False,12.69771850797869
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,1.5,94000,28500,4,False,False,11.451060699493427
S,Al-Jouf,Mercedes,Automatic,Other,Full,3.0,138,22000,29,False,False,4.9344739331306915
